job_key,source,url,title,title_clean,company,seniority,location_primary,work_arrangement,salary_raw,salary_min_vnd,salary_max_vnd,salary_mid_vnd,salary_currency,salary_disclosed,n_skills,posted_raw,first_seen_at,last_seen_at,skills,locations
careerlink:3615633,careerlink,https://www.careerlink.vn/tim-viec-lam/hai-duong-chuyen-vien-tu-van-giai-phap-cong-nghe-%7C-thu-nhap-len-den-25m/3615633,[HẢI DƯƠNG] CHUYÊN VIÊN TƯ VẤN GIẢI PHÁP CÔNG NGHỆ | THU NHẬP LÊN ĐẾN 25M,CHUYÊN VIÊN TƯ VẤN GIẢI PHÁP CÔNG NGHỆ | THU NHẬP LÊN ĐẾN 25M,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,Nhân viên,Hải Dương,,20 triệu - 25 triệu,20000000.0,25000000.0,22500000.0,VND,True,0,2026-09-07T07:49:07+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hải Dương
careerlink:3604571,careerlink,https://www.careerlink.vn/tim-viec-lam/erp-business-analyst-lead-erp-ba-lead-40m/3604571,ERP Business Analyst Lead / ERP BA Lead (40M),ERP Business Analyst Lead / ERP BA Lead,Thời Trang Adidas - Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,Lead,Hà Nội,,30 triệu - 40 triệu,30000000.0,40000000.0,35000000.0,VND,True,0,2026-09-04T09:00:42+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3616304,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-it-phan-cung-mang/3616304,NHÂN VIÊN IT PHẦN CỨNG - MẠNG,NHÂN VIÊN IT PHẦN CỨNG - MẠNG,Công ty TNHH Dreamtech Việt Nam,Nhân viên,Bắc Ninh,,7 triệu - 9 triệu,7000000.0,9000000.0,8000000.0,VND,True,0,2026-09-08T02:12:14+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Bắc Ninh
careerlink:3615940,careerlink,https://www.careerlink.vn/tim-viec-lam/hai-duong-chuyen-vien-tu-van-san-pham-cong-nghe-%7C-thu-nhap-len-den-25m/3615940,[HẢI DƯƠNG] CHUYÊN VIÊN TƯ VẤN SẢN PHẨM CÔNG NGHỆ | THU NHẬP LÊN ĐẾN 25M,CHUYÊN VIÊN TƯ VẤN SẢN PHẨM CÔNG NGHỆ | THU NHẬP LÊN ĐẾN 25M,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,Nhân viên,Hải Dương,,20 triệu - 25 triệu,20000000.0,25000000.0,22500000.0,VND,True,0,2026-09-08T02:39:54+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hải Dương
careerlink:3616418,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-bo-phan-he-thong-phan-mem-du-lieu/3616418,TRƯỞNG BỘ PHẬN HỆ THỐNG PHẦN MỀM & DỮ LIỆU,TRƯỞNG BỘ PHẬN HỆ THỐNG PHẦN MỀM & DỮ LIỆU,Công Ty TNHH Thương Mại Dịch Vụ Âu Châu,Lead,Hồ Chí Minh,,20 triệu - 22 triệu,20000000.0,22000000.0,21000000.0,VND,True,0,2026-09-08T06:18:39+00:00,2026-09-08T06:38:14+00:00,2026-09-08T07:00:48+00:00,,Hồ Chí Minh
careerlink:3614380,careerlink,https://www.careerlink.vn/tim-viec-lam/qc-%E2%80%93-automation-ai-testing/3614380,QC – AUTOMATION & AI TESTING,QC – AUTOMATION & AI TESTING,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHOA HỌC CÔNG NGHỆ BÁCH KHOA,Nhân viên,Hồ Chí Minh,,10 triệu - 15 triệu,10000000.0,15000000.0,12500000.0,VND,True,0,2026-09-07T14:54:39+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3602774,careerlink,https://www.careerlink.vn/tim-viec-lam/ha-noi-nhan-vien-it-trien-khai-phan-mem/3602774,[Hà Nội] NHÂN VIÊN IT TRIỂN KHAI PHẦN MỀM,NHÂN VIÊN IT TRIỂN KHAI PHẦN MỀM,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,Nhân viên,Hà Nội,,10 triệu - 13 triệu,10000000.0,13000000.0,11500000.0,VND,True,0,2026-09-03T08:36:13+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3611716,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-phong-qa-qc-xay-dung-quy-trinh-va-kiem-soat-chat-luong-dich-vu/3611716,Trưởng Phòng QA - QC (Xây Dựng Quy Trình Và Kiểm Soát Chất Lượng Dịch Vụ),Trưởng Phòng QA - QC,Thời Trang Adidas - Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,Manager,Hà Nội,,45 triệu - 60 triệu,45000000.0,60000000.0,52500000.0,VND,True,0,2026-09-04T01:14:23+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3611729,careerlink,https://www.careerlink.vn/tim-viec-lam/qa-qc-manager/3611729,QA/QC Manager,QA/QC Manager,Thời Trang Adidas - Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,Manager,Hà Nội,,45 triệu - 60 triệu,45000000.0,60000000.0,52500000.0,VND,True,0,2026-09-04T01:13:39+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3611731,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-phong-quan-ly-chat-luong-quy-trinh-qa-qc/3611731,Trưởng Phòng Quản Lý Chất Lượng & Quy Trình (QA/QC),Trưởng Phòng Quản Lý Chất Lượng & Quy Trình,Thời Trang Adidas - Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,Manager,Hà Nội,,45 triệu - 60 triệu,45000000.0,60000000.0,52500000.0,VND,True,0,2026-09-03T08:37:30+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
